,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
42,sx4,2008,1.95,7.15,58000,0,0,0,0
43,dzire,2014,5.5,8.06,45780,1,0,0,0
44,omni,2012,1.25,2.69,50000,0,0,0,0
45,ciaz,2014,7.5,12.04,15000,0,0,1,0
46,ritz,2013,2.65,4.89,64532,0,0,0,0
47,wagon r,2006,1.05,4.15,65000,0,0,0,0
48,ertiga,2015,5.8,7.71,25870,0,0,0,0
49,ciaz,2017,7.75,9.29,37000,0,0,1,0
51,fortuner,2015,23.0,30.61,40000,1,0,1,0
52,innova,2017,18.0,19.77,15000,1,0,1,0
54,innova,2005,2.75,10.21,90000,0,1,0,0
55,corolla altis,2009,3.6,15.04,70000,0,0,1,0
56,etios cross,2015,4.5,7.27,40534,0,0,0,0
57,corolla altis,2010,4.75,18.54,50000,0,0,0,0
58,etios g,2014,4.1,6.8,39485,0,0,0,1
59,fortuner,2014,19.99,35.96,41000,1,0,1,0
60,corolla altis,2013,6.95,18.61,40001,0,0,0,0
61,etios cross,2015,4.5,7.7,40588,0,0,0,0
62,fortuner,2014,18.75,35.96,78000,1,0,1,0
63,fortuner,2015,23.5,35.96,47000,1,0,1,0
64,fortuner,2017,33.0,36.23,6000,1,0,1,0
65,etios liva,2014,4.75,6.95,45000,1,0,0,0
66,innova,2017,19.75,23.15,11000,0,0,1,0
67,fortuner,2010,9.25,20.45,59000,1,0,0,0
68,corolla altis,2011,4.35,13.74,88000,0,0,0,0
69,corolla altis,2016,14.25,20.91,12000,0,0,0,0
70,etios liva,2014,3.95,6.76,71000,1,0,0,0
71,corolla altis,2011,4.5,12.48,45000,1,0,0,0
72,corolla altis,2013,7.45,18.61,56001,0,0,0,0
73,etios liva,2011,2.65,5.71,43000,0,0,0,0
74,etios cross,2014,4.9,8.93,83000,1,0,0,0
75,etios g,2015,3.95,6.8,36000,0,0,0,0
76,corolla altis,2013,5.5,14.68,72000,0,0,0,0
78,corolla altis,2010,5.25,22.83,80000,0,0,1,0
79,fortuner,2012,14.5,30.61,89000,1,0,1,0
80,corolla altis,2016,14.73,14.89,23000,1,0,0,0
81,etios gd,2015,4.75,7.85,40000,1,0,0,0
82,innova,2017,23.0,25.39,15000,1,0,1,0
83,innova,2015,12.5,13.46,38000,1,0,0,0
86,land cruiser,2010,35.0,92.6,78000,1,0,0,0
87,corolla altis,2012,5.9,13.74,56000,0,0,0,0
